"town","buffer","question","metric","sen_slope_per_decade","qcat","p_upper","p_lower","p_two","baseline_mean","early_mean","late_mean","delta_late_minus_early"
"Bovill","none","Q3","fireseverity_bi90",1.36887942788444,"Q5",0.4095,0.5905,0.819,51.4249048489157,10.3850285368433,55.2510912912859,44.8660627544426
"Bovill","none","Q3","fireseverity_erc90",0,"Q4",0.4905,0.5095,0.981,21.2792090081474,4.07307019311712,25.6586437853925,21.5855735922754
"Bovill","none","Q4","firestart_any_bi90",-1.5,"Q3",0.572,0.428,0.856,73.4,94.2,56,-38.2
"Bovill","none","Q4","firestart_any_erc90",-11.953781512605,"Q2",0.7875,0.2125,0.425,87.6666666666667,141,100.625,-40.375
"Bovill","none","Q4","firestart_k2_erc90",-16.0833333333333,"Q2",0.81,0.19,0.38,89.7142857142857,149,98.5714285714286,-50.4285714285714
"Bovill","none","Q4","firestart_k3_bi90",-6.74242424242424,"Q2",0.7665,0.2335,0.467,83.25,152.166666666667,67.9,-84.2666666666667
"Bovill","none","Q4","firestart_k3_erc90",-13.3333333333333,"Q2",0.7325,0.2675,0.535,94.4166666666667,149,113.4,-35.6
"Bovill","none","Q4","firestart_wyday_bi",-6.74242424242424,"Q2",0.7665,0.2335,0.467,83.25,152.166666666667,67.9,-84.2666666666667
"Bovill","none","Q4","firestart_wyday_erc",-13.3333333333333,"Q2",0.7325,0.2675,0.535,94.4166666666667,149,113.4,-35.6
"Bovill","none","Q2","firesummerhighdays_bi90",0,"Q4",0.4905,0.5095,0.981,2.8,0,3.1,3.1
"Bovill","none","Q2","firesummerhighdays_erc90",0,"Q4",0.4905,0.5095,0.981,0.766666666666667,0,0,0
"Deary","10mibuffer","Q1","firehighdays_bi90",2.94117647058824,"Q5",0.3595,0.6405,0.719,26.5,7.5,37.5,30
"Deary","10mibuffer","Q1","firehighdays_bi95",1.17647058823529,"Q6",0.2205,0.7795,0.441,11.3,2.1,14.9,12.8
"Deary","10mibuffer","Q1","firehighdays_erc90",4,"Q6",0.277,0.723,0.554,19.1666666666667,3.8,30.4,26.6
"Deary","10mibuffer","Q1","firehighdays_erc95",0,"Q4",0.4905,0.5095,0.981,6.1,0.6,9.5,8.9
"Deary","10mibuffer","Q5","firemaxrun_bi",0.625,"Q6",0.1995,0.8005,0.399,8.66666666666667,3.9,11.2,7.3
"Deary","10mibuffer","Q5","firemaxrun_erc",1.84210526315789,"Q6",0.2085,0.7915,0.417,8.06666666666667,3.3,12.4,9.1
"Deary","10mibuffer","Q3","firep95_erc",4.82601982650263,"Q7",0.074,0.926,0.148,60.8378443519159,53.6878483444967,65.2478621330384,11.5600137885417
"Deary","10mibuffer","Q3","firepeak_bi",4.08187277694847,"Q7",0.0875,0.9125,0.175,58.028160562311,51.6976864531093,60.3385212903226,8.64083483721335
"Deary","10mibuffer","Q3","firepeak_erc",5.29799824860909,"Q7",0.116,0.884,0.232,69.6812344746809,62.7160724060256,72.4349006451613,9.71882823913574
"Deary","10mibuffer","Q5","fireseasonlength_bi",25.8846153846154,"Q5",0.305,0.695,0.61,201.137931034483,80.5555555555556,247.8,167.244444444444
"Deary","10mibuffer","Q5","fireseasonlength_erc",20.9090909090909,"Q6",0.2455,0.7545,0.491,128.791666666667,39.8,127.9,88.1
"Deary","10mibuffer","Q3","fireseverity_bi90",8.62725540439223,"Q5",0.4035,0.5965,0.807,98.1905100089256,15.8636736005576,138.214236778791,122.350563178233
"Deary","10mibuffer","Q3","fireseverity_erc90",6.86394602903669,"Q5",0.408,0.592,0.816,72.8130867431199,11.1658057023424,114.789494379617,103.623688677275
"Deary","10mibuffer","Q4","firestart_any_bi90",-1.11111111111111,"Q4",0.555,0.445,0.89,63.2333333333333,102.3,44.1,-58.2
"Deary","10mibuffer","Q4","firestart_any_erc90",-7.42857142857143,"Q3",0.692,0.308,0.616,84.36,115.5,63,-52.5
"Deary","10mibuffer","Q4","firestart_k2_erc90",-10,"Q2",0.7465,0.2535,0.507,86.5,131.4,63,-68.4
"Deary","10mibuffer","Q4","firestart_k3_bi90",2.22222222222222,"Q5",0.402,0.598,0.804,86.1428571428571,121.444444444444,59.8,-61.6444444444444
"Deary","10mibuffer","Q4","firestart_k3_erc90",-14.2857142857143,"Q2",0.7635,0.2365,0.473,92.7391304347826,105.75,63,-42.75
"Deary","10mibuffer","Q4","firestart_wyday_bi",2.22222222222222,"Q5",0.402,0.598,0.804,86.1428571428571,121.444444444444,59.8,-61.6444444444444
"Deary","10mibuffer","Q4","firestart_wyday_erc",-14.2857142857143,"Q2",0.7635,0.2365,0.473,92.7391304347826,105.75,63,-42.75
"Deary","10mibuffer","Q2","firesummerhighdays_bi90",0,"Q4",0.4945,0.5055,0.989,6.2,0,9.3,9.3
"Deary","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.495,0.505,0.99,4.43333333333333,0,6.3,6.3
"Deary","none","Q1","firehighdays_bi90",4.24242424242424,"Q5",0.2985,0.7015,0.597,25.6666666666667,5.6,39.6,34
"Deary","none","Q1","firehighdays_bi95",1.11111111111111,"Q5",0.4075,0.5925,0.815,12.2,1.8,18,16.2
"Deary","none","Q1","firehighdays_erc90",4.28571428571429,"Q5",0.291,0.709,0.582,18.7333333333333,2.5,34.1,31.6
"Deary","none","Q1","firehighdays_erc95",0,"Q4",0.4965,0.5035,0.993,7.53333333333333,0.5,14.1,13.6
"Deary","none","Q5","firemaxrun_bi",1.11111111111111,"Q6",0.286,0.714,0.572,8.03333333333333,2.9,10.8,7.9
"Deary","none","Q5","firemaxrun_erc",1.85185185185185,"Q6",0.233,0.767,0.466,7.73333333333333,2.3,12.5,10.2
"Deary","none","Q3","firep95_erc",4.85668044244091,"Q7",0.0725,0.9275,0.145,61.1021447819125,53.441638231216,65.9144838709678,12.4728456397518
"Deary","none","Q3","firepeak_bi",4.22428500267768,"Q7",0.092,0.908,0.184,58.7781996409098,51.7386276195895,61.3483870967742,9.60975947718467
"Deary","none","Q3","firepeak_erc",5.30295970767786,"Q7",0.107,0.893,0.214,70.0772139026273,62.5585797783637,73.2348387096774,10.6762589313138
"Deary","none","Q5","fireseasonlength_bi",31.8181818181818,"Q6",0.2545,0.7455,0.509,217.25,83.375,261.7,178.325
"Deary","none","Q5","fireseasonlength_erc",48.2459677419355,"Q5",0.315,0.685,0.63,138,5,201.777777777778,196.777777777778
"Deary","none","Q3","fireseverity_bi90",11.1021240780373,"Q5",0.387,0.613,0.774,101.562850037352,14.007734270752,157.362862331215,143.355128060463
"Deary","none","Q3","fireseverity_erc90",9.43460159961588,"Q5",0.4015,0.5985,0.803,78.7129504401315,7.03176434697548,138.897536834582,131.865772487607
"Deary","none","Q4","firestart_any_bi90",-0.588235294117647,"Q4",0.5425,0.4575,0.915,63.2413793103448,102.111111111111,44,-58.1111111111111
"Deary","none","Q4","firestart_any_erc90",-12.5,"Q2",0.797,0.203,0.406,94.7916666666667,135.6,53.1,-82.5
"Deary","none","Q4","firestart_k2_erc90",-5.57692307692308,"Q3",0.642,0.358,0.716,99.4347826086957,135.6,57.2222222222222,-78.3777777777778
"Deary","none","Q4","firestart_k3_bi90",2,"Q4",0.4435,0.5565,0.887,92.875,172.4,56.3,-116.1
"Deary","none","Q4","firestart_k3_erc90",-5.71428571428571,"Q3",0.617,0.383,0.766,98.2857142857143,112.75,61.8888888888889,-50.8611111111111
"Deary","none","Q4","firestart_wyday_bi",2,"Q4",0.4435,0.5565,0.887,92.875,172.4,56.3,-116.1
"Deary","none","Q4","firestart_wyday_erc",-5.71428571428571,"Q3",0.617,0.383,0.766,98.2857142857143,112.75,61.8888888888889,-50.8611111111111
"Deary","none","Q2","firesummerhighdays_bi90",0,"Q4",0.498,0.502,0.996,7.06666666666667,0,10.9,10.9
"Deary","none","Q2","firesummerhighdays_erc90",0,"Q4",0.494,0.506,0.988,5.43333333333333,0,9.3,9.3
"ElkRiver","10mibuffer","Q1","firehighdays_bi90",5,"Q6",0.226,0.774,0.452,25.9,8.3,38.3,30
"ElkRiver","10mibuffer","Q1","firehighdays_bi95",1.73913043478261,"Q5",0.335,0.665,0.67,11.5333333333333,1.8,17.5,15.7
"ElkRiver","10mibuffer","Q1","firehighdays_erc90",5.40540540540541,"Q6",0.25,0.75,0.5,25.1,7.6,42.8,35.2
"ElkRiver","10mibuffer","Q1","firehighdays_erc95",1.66666666666667,"Q5",0.3485,0.6515,0.697,10.8333333333333,2.2,18.6,16.4
"ElkRiver","10mibuffer","Q5","firemaxrun_bi",0.789473684210526,"Q6",0.1705,0.8295,0.341,8.83333333333333,4,11,7
"ElkRiver","10mibuffer","Q5","firemaxrun_erc",1.81818181818182,"Q6",0.2435,0.7565,0.487,10.9666666666667,5.4,15.9,10.5
"ElkRiver","10mibuffer","Q3","firep95_erc",3.62259032632856,"Q7",0.098,0.902,0.196,67.1912610998084,60.9292979499207,71.4097538377938,10.4804558878731
"ElkRiver","10mibuffer","Q3","firepeak_bi",3.05641891544757,"Q7",0.0885,0.9115,0.177,61.1644843865445,56.3917960573966,63.661529683467,7.2697336260704
"ElkRiver","10mibuffer","Q3","firepeak_erc",3.57202736275386,"Q6",0.175,0.825,0.35,75.0850214600258,68.8542634329001,78.1975139247385,9.3432504918384
"ElkRiver","10mibuffer","Q5","fireseasonlength_bi",37.2252747252747,"Q6",0.2575,0.7425,0.515,272.285714285714,162.75,321.8,159.05
"ElkRiver","10mibuffer","Q5","fireseasonlength_erc",40.3030303030303,"Q6",0.156,0.844,0.312,206.481481481481,91.7142857142857,265.4,173.685714285714
"ElkRiver","10mibuffer","Q3","fireseverity_bi90",17.0146669404341,"Q5",0.297,0.703,0.594,102.062532362235,20.1029269018497,150.269582710863,130.166655809013
"ElkRiver","10mibuffer","Q3","fireseverity_erc90",17.795569579864,"Q6",0.1665,0.8335,0.333,115.045568361411,28.3568292242567,186.133252245868,157.776423021611
"ElkRiver","10mibuffer","Q4","firestart_any_bi90",-4.13461538461538,"Q3",0.58,0.42,0.84,42.7931034482759,82.4444444444444,24.4,-58.0444444444444
"ElkRiver","10mibuffer","Q4","firestart_any_erc90",-6.15384615384615,"Q3",0.6905,0.3095,0.619,72.5185185185185,116.142857142857,28,-88.1428571428571
"ElkRiver","10mibuffer","Q4","firestart_k2_erc90",-3.33333333333333,"Q3",0.6075,0.3925,0.785,84.962962962963,116.142857142857,48.4,-67.7428571428571
"ElkRiver","10mibuffer","Q4","firestart_k3_bi90",2.22222222222222,"Q5",0.3595,0.6405,0.719,95.4814814814815,127.285714285714,64.3,-62.9857142857143
"ElkRiver","10mibuffer","Q4","firestart_k3_erc90",-1.66666666666667,"Q4",0.542,0.458,0.916,111.615384615385,154.666666666667,54.5,-100.166666666667
"ElkRiver","10mibuffer","Q4","firestart_wyday_bi",2.22222222222222,"Q5",0.3595,0.6405,0.719,95.4814814814815,127.285714285714,64.3,-62.9857142857143
"ElkRiver","10mibuffer","Q4","firestart_wyday_erc",-1.66666666666667,"Q4",0.542,0.458,0.916,111.615384615385,154.666666666667,54.5,-100.166666666667
"ElkRiver","10mibuffer","Q2","firesummerhighdays_bi90",1.48148148148148,"Q5",0.304,0.696,0.608,7.4,0.4,12.5,12.1
"ElkRiver","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.498,0.502,0.996,7.8,0.2,14.6,14.4
"ElkRiver","none","Q1","firehighdays_bi90",2.66666666666667,"Q5",0.344,0.656,0.688,22.8,6.6,33.5,26.9
"ElkRiver","none","Q1","firehighdays_bi95",0.909090909090909,"Q6",0.2225,0.7775,0.445,10.3,1.8,15.2,13.4
"ElkRiver","none","Q1","firehighdays_erc90",3.33333333333333,"Q5",0.3325,0.6675,0.665,19.7666666666667,3.3,35,31.7
"ElkRiver","none","Q1","firehighdays_erc95",0.625,"Q5",0.303,0.697,0.606,7.63333333333333,0.9,13.2,12.3
"ElkRiver","none","Q5","firemaxrun_bi",0,"Q4",0.4905,0.5095,0.981,7.6,3.5,8.7,5.2
"ElkRiver","none","Q5","firemaxrun_erc",1.66666666666667,"Q6",0.2595,0.7405,0.519,9.26666666666667,3.3,13.8,10.5
"ElkRiver","none","Q3","firep95_erc",3.64487463235854,"Q7",0.1015,0.8985,0.203,65.0471417668661,58.7353596153259,69.084,10.3486403846741
"ElkRiver","none","Q3","firepeak_bi",3.21090371268136,"Q7",0.111,0.889,0.222,60.3450142415365,55.1245596313477,62.82,7.69544036865234
"ElkRiver","none","Q3","firepeak_erc",3.58080509730748,"Q7",0.1185,0.8815,0.237,73.1085757700602,66.9416927337647,75.7,8.75830726623536
"ElkRiver","none","Q5","fireseasonlength_bi",28.8235294117647,"Q6",0.216,0.784,0.432,228.678571428571,127.375,286.8,159.425
"ElkRiver","none","Q5","fireseasonlength_erc",28.3,"Q6",0.2165,0.7835,0.433,159.173913043478,9.33333333333333,199.8,190.466666666667
"ElkRiver","none","Q3","fireseverity_bi90",10.786428460031,"Q6",0.193,0.807,0.386,91.2272763987667,15.5123268084391,137.676237634664,122.163910826225
"ElkRiver","none","Q3","fireseverity_erc90",8.83862578755592,"Q6",0.2685,0.7315,0.537,84.9825479966705,15.2001738539101,142.068337728962,126.868163875052
"ElkRiver","none","Q4","firestart_any_bi90",-1.81818181818182,"Q3",0.5815,0.4185,0.837,87.5,144.1,33.7,-110.4
"ElkRiver","none","Q4","firestart_any_erc90",-7.33333333333333,"Q3",0.695,0.305,0.61,98.88,166,55.6,-110.4
"ElkRiver","none","Q4","firestart_k2_erc90",-6.33928571428571,"Q3",0.686,0.314,0.628,94.5217391304348,133.666666666667,58.7,-74.9666666666667
"ElkRiver","none","Q4","firestart_k3_bi90",1.62280701754386,"Q4",0.4365,0.5635,0.873,96.1153846153846,134.166666666667,57.9,-76.2666666666667
"ElkRiver","none","Q4","firestart_k3_erc90",-8.88888888888889,"Q3",0.7015,0.2985,0.597,93.0952380952381,133.666666666667,58.7,-74.9666666666667
"ElkRiver","none","Q4","firestart_wyday_bi",1.62280701754386,"Q4",0.4365,0.5635,0.873,96.1153846153846,134.166666666667,57.9,-76.2666666666667
"ElkRiver","none","Q4","firestart_wyday_erc",-8.88888888888889,"Q3",0.7015,0.2985,0.597,93.0952380952381,133.666666666667,58.7,-74.9666666666667
"ElkRiver","none","Q2","firesummerhighdays_bi90",0.882352941176471,"Q5",0.3745,0.6255,0.749,6.96666666666667,0.2,10.8,10.6
"ElkRiver","none","Q2","firesummerhighdays_erc90",0,"Q4",0.4955,0.5045,0.991,6.46666666666667,0,11.8,11.8
"Juliaetta","10mibuffer","Q1","firehighdays_bi90",6,"Q5",0.3025,0.6975,0.605,56,29.3,71.4,42.1
"Juliaetta","10mibuffer","Q1","firehighdays_bi95",1.25,"Q5",0.3045,0.6955,0.609,30.1333333333333,12.6,37.3,24.7
