"town","buffer","question","metric","obs_slope_decade","qcat","p_upper","p_two"
"ElkRiver","10mibuffer",NA,"fireseverity_bi90",17.0146669404341,"Q5",0.297,0.594
"ElkRiver","10mibuffer",NA,"fireseverity_erc90",17.795569579864,"Q6",0.1665,0.333
"ElkRiver","10mibuffer","Q4","firestart_any_bi90",-4.13461538461538,"Q3",0.58,0.84
"ElkRiver","10mibuffer","Q4","firestart_any_erc90",-6.15384615384615,"Q3",0.6905,0.619
"ElkRiver","10mibuffer",NA,"firestart_k2_erc90",-3.33333333333333,"Q3",0.6075,0.785
"ElkRiver","10mibuffer",NA,"firestart_k3_bi90",2.22222222222222,"Q5",0.3595,0.719
"ElkRiver","10mibuffer",NA,"firestart_k3_erc90",-1.66666666666667,"Q4",0.542,0.916
"ElkRiver","10mibuffer","Q4","firestart_wyday_bi",2.22222222222222,"Q5",0.3595,0.719
"ElkRiver","10mibuffer","Q4","firestart_wyday_erc",-1.66666666666667,"Q4",0.542,0.916
"ElkRiver","10mibuffer","Q2","firesummerhighdays_bi90",1.48148148148148,"Q5",0.304,0.608
"ElkRiver","10mibuffer","Q2","firesummerhighdays_erc90",0,"Q4",0.498,0.996
"ElkRiver","none","Q1","firehighdays_bi90",2.66666666666667,"Q5",0.344,0.688
"ElkRiver","none",NA,"firehighdays_bi95",0.909090909090909,"Q6",0.2225,0.445
"ElkRiver","none","Q1","firehighdays_erc90",3.33333333333333,"Q5",0.3325,0.665
"ElkRiver","none",NA,"firehighdays_erc95",0.625,"Q5",0.303,0.606
"ElkRiver","none","Q5","firemaxrun_bi",0,"Q4",0.4905,0.981
"ElkRiver","none","Q5","firemaxrun_erc",1.66666666666667,"Q6",0.2595,0.519
"ElkRiver","none","Q3","firep95_erc",3.64487463235854,"Q7",0.1015,0.203
"ElkRiver","none","Q3","firepeak_bi",3.21090371268136,"Q7",0.111,0.222
"ElkRiver","none","Q3","firepeak_erc",3.58080509730748,"Q7",0.1185,0.237
"ElkRiver","none","Q5","fireseasonlength_bi",28.8235294117647,"Q6",0.216,0.432
"ElkRiver","none","Q5","fireseasonlength_erc",28.3,"Q6",0.2165,0.433
"ElkRiver","none",NA,"fireseverity_bi90",10.786428460031,"Q6",0.193,0.386
"ElkRiver","none",NA,"fireseverity_erc90",8.83862578755592,"Q6",0.2685,0.537
"ElkRiver","none","Q4","firestart_any_bi90",-1.81818181818182,"Q3",0.5815,0.837
"ElkRiver","none","Q4","firestart_any_erc90",-7.33333333333333,"Q3",0.695,0.61
"ElkRiver","none",NA,"firestart_k2_erc90",-6.33928571428571,"Q3",0.686,0.628
"ElkRiver","none",NA,"firestart_k3_bi90",1.62280701754386,"Q4",0.4365,0.873
"ElkRiver","none",NA,"firestart_k3_erc90",-8.88888888888889,"Q3",0.7015,0.597
"ElkRiver","none","Q4","firestart_wyday_bi",1.62280701754386,"Q4",0.4365,0.873
"ElkRiver","none","Q4","firestart_wyday_erc",-8.88888888888889,"Q3",0.7015,0.597
"ElkRiver","none","Q2","firesummerhighdays_bi90",0.882352941176471,"Q5",0.3745,0.749
"ElkRiver","none","Q2","firesummerhighdays_erc90",0,"Q4",0.4955,0.991
"Juliaetta","10mibuffer","Q1","firehighdays_bi90",6,"Q5",0.3025,0.605
"Juliaetta","10mibuffer",NA,"firehighdays_bi95",1.25,"Q5",0.3045,0.609
"Juliaetta","10mibuffer","Q1","firehighdays_erc90",8.4375,"Q7",0.0485,0.097
"Juliaetta","10mibuffer",NA,"firehighdays_erc95",4.16666666666667,"Q7",0.1375,0.275
"Juliaetta","10mibuffer","Q5","firemaxrun_bi",0.909090909090909,"Q6",0.1665,0.333
"Juliaetta","10mibuffer","Q5","firemaxrun_erc",3.07692307692308,"Q7",0.0355,0.071
"Juliaetta","10mibuffer","Q3","firep95_erc",4.25614818915199,"Q7",0.06,0.12
"Juliaetta","10mibuffer","Q3","firepeak_bi",3.52288711556908,"Q7",0.078,0.156
"Juliaetta","10mibuffer","Q3","firepeak_erc",4.25663502648235,"Q7",0.101,0.202
"Juliaetta","10mibuffer","Q5","fireseasonlength_bi",20,"Q7",0.115,0.23
"Juliaetta","10mibuffer","Q5","fireseasonlength_erc",21.2310606060606,"Q6",0.178,0.356
"Juliaetta","10mibuffer",NA,"fireseverity_bi90",20.2505831469296,"Q6",0.22,0.44
"Juliaetta","10mibuffer",NA,"fireseverity_erc90",42.1388345907855,"Q6",0.1625,0.325
"Juliaetta","10mibuffer","Q4","firestart_any_bi90",-2.5,"Q2",0.756,0.488
"Juliaetta","10mibuffer","Q4","firestart_any_erc90",-2.35294117647059,"Q3",0.6495,0.701
