town,buffer,wateryear,metric,value
Bovill,10mibuffer,1991,annualeto,895.950834338099
Bovill,10mibuffer,1992,annualeto,964.8305043322556
Bovill,10mibuffer,1993,annualeto,822.2679373888357
Bovill,10mibuffer,1994,annualeto,983.4544354362956
Bovill,10mibuffer,1995,annualeto,849.1305223258292
Bovill,10mibuffer,1996,annualeto,855.2433226811266
Bovill,10mibuffer,1997,annualeto,859.4989337700621
Bovill,10mibuffer,1998,annualeto,905.8704939729058
Bovill,10mibuffer,1999,annualeto,889.2806922986813
Bovill,10mibuffer,2000,annualeto,913.3622143625273
Bovill,10mibuffer,2001,annualeto,897.0493517693617
Bovill,10mibuffer,2002,annualeto,881.3316415589812
Bovill,10mibuffer,2003,annualeto,955.25948789431
Bovill,10mibuffer,2004,annualeto,911.2302396688704
Bovill,10mibuffer,2005,annualeto,933.7618236660579
Bovill,10mibuffer,2006,annualeto,1013.4417379660113
Bovill,10mibuffer,2007,annualeto,1019.5020295191077
Bovill,10mibuffer,2008,annualeto,934.064981399215
Bovill,10mibuffer,2009,annualeto,989.6383360111729
Bovill,10mibuffer,2010,annualeto,936.9019581076548
Bovill,10mibuffer,2011,annualeto,914.1491132857184
Bovill,10mibuffer,2012,annualeto,954.362037394781
Bovill,10mibuffer,2013,annualeto,975.3738091218515
Bovill,10mibuffer,2014,annualeto,977.1448038210696
Bovill,10mibuffer,2015,annualeto,1117.5896226884126
Bovill,10mibuffer,2016,annualeto,1026.9075490354805
Bovill,10mibuffer,2017,annualeto,1035.2939299503178
Bovill,10mibuffer,2018,annualeto,1005.9805250806689
Bovill,10mibuffer,2019,annualeto,962.8692067575498
Bovill,10mibuffer,2020,annualeto,1007.0984211869569
Bovill,10mibuffer,2021,annualeto,1105.9070465345317
Bovill,10mibuffer,2022,annualeto,1013.2369316621036
Bovill,10mibuffer,2023,annualeto,1036.29887396471
Bovill,10mibuffer,2024,annualeto,1018.731932328984
Bovill,10mibuffer,2025,annualeto,1088.7266170477842
Bovill,10mibuffer,1980,annualprecip,977.1526452587942
Bovill,10mibuffer,1981,annualprecip,950.2280094188259
Bovill,10mibuffer,1982,annualprecip,1116.2653513318023
Bovill,10mibuffer,1983,annualprecip,1102.2592153255061
