question,.town,n,mean_resp,mean_resp_z,mean_instr_delta_raw,mean_climate_delta_z,mean_pdi,sd_pdi
F3,Bovill,48,5.509803921568627,-0.013437211913954217,-23.97337334898405,-0.11338962927866303,0.16604779414925822,1.0806990497969653
F3,Deary,117,5.423728813559322,-0.09080987897473748,1.05951052206564,0.1325491472518097,-0.23546933081253849,1.3847429881330087
F3,ElkRiver,32,5.1875,-0.3031552801528958,6.970853720360529,0.19062589627239365,-0.49378117642528946,1.8139318249136875
F3,Juliaetta,122,5.666666666666667,0.12756625855975118,-23.591020920524517,-0.10963315883190224,0.27158346039651193,1.408665339559257
F3,Kendrick,70,5.591549295774648,0.06004346988220212,-16.489349345802044,-0.03986187609014906,0.12034304718814506,1.3636544020509804
F4,Bovill,48,4.411764705882353,-0.08225914852273002,13.087086360562937,0.033454791934492946,-0.061929857354143004,1.0117797150096768
F4,Deary,117,4.3559322033898304,-0.12681126420256944,-21.50183727505634,-0.5412125052801143,0.40318841464957555,1.3512016434515417
F4,ElkRiver,32,4.15625,-0.2861497181044058,-20.4252844349875,-0.5233264410177971,0.23717672291339129,1.0115620071548235
F4,Juliaetta,122,4.8106060606060606,0.23600038455004058,41.967926641972426,0.5132868503311607,-0.23734881469436217,1.5774643277808702
F4,Kendrick,70,4.464788732394366,-0.039948084939462,24.694754148375203,0.22630690681550886,-0.24955723273371688,1.3334361268091435
F5,Bovill,48,5.1568627450980395,-0.10189303776353366,-1.1589950846777461,-0.08788694635216313,0.014901764808059065,0.9685129614452928
F5,Deary,117,5.220338983050848,-0.04199987938619341,39.962738598358634,0.5324850480384394,-0.580772543191995,1.7332754481392447
F5,ElkRiver,32,5.15625,-0.10247119488792225,31.53642060837684,0.4053636640737634,-0.5078348589616857,1.0362922866892628
F5,Juliaetta,122,5.356060606060606,0.08606058740133955,-23.6822941070116,-0.42767864974781195,0.5258090210514398,1.1611408426927514
F5,Kendrick,70,5.295774647887324,0.029177625252787158,-13.20870783533327,-0.2696717025245851,0.31631548940397203,1.16810846272
H1,Bovill,48,5.078431372549019,0.018970097844690514,0.5437189075640879,0.020823967929394477,0.0024711409363203283,1.4761604705124571
H1,Deary,117,4.9491525423728815,-0.09509290467588259,0.8751104808777019,0.518240253289204,-0.6137166009239258,1.5857730390268256
H1,ElkRiver,32,5.21875,0.14277353832151116,0.7985295814108516,0.4032928930970828,-0.26051935477557164,1.6925493746144527
H1,Juliaetta,122,5.143939393939394,0.07676797239837892,0.2623445731707742,-0.4015168140344818,0.48146247709361334,1.1638652462274528
H1,Kendrick,70,4.985915492957746,-0.06265687072112025,0.28663512493456084,-0.3650568766049667,0.3148267981132684,1.231956584298517
H2,Bovill,48,5.254901960784314,0.09167290332574356,0.9591430837547418,0.28377668201621886,-0.17804883683308376,1.0479623634325281
H2,Deary,117,5.076271186440678,-0.0659183613073299,0.9928908341124256,0.32126091987513894,-0.39414449557400333,1.3617624439318259
H2,ElkRiver,32,5.40625,0.2251948509709633,0.7955871892173733,0.10211218618794272,0.1230826647830206,1.347773495807028
H2,Juliaetta,122,5.265151515151516,0.10071524354168779,0.4250898234468742,-0.3094059516864726,0.4076011987745366,1.5761261127842061
H2,Kendrick,70,4.873239436619718,-0.2450366030129802,0.4884921048982253,-0.2389838887776326,0.0049528207971420235,1.3991826364565512
H3,Bovill,34,5.513513513513513,0.24883348284858772,6.23011446626171,0.11423371487399783,0.05522234305161404,1.1761411801224384
H3,Deary,82,5.108433734939759,-0.14760988219829463,7.18548723114757,0.2750041805108028,-0.34063090947737684,1.6639441626989246
