"system.index","Name","Shape_Area","Shape_Leng","precip","tavg","tmax","tmin",".geo"
"19510417_00000000000000000000","Deary",3414097.91084,9686.26783674,0,9.1171875,20.109375,-1.8671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510418_00000000000000000000","Deary",3414097.91084,9686.26783674,0,9.6796875,18.9296875,0.421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510419_00000000000000000000","Deary",3414097.91084,9686.26783674,0,3.7265625,12.3203125,-4.859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510420_00000000000000000000","Deary",3414097.91084,9686.26783674,0,0.7265625,6.59375,-5.1328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510421_00000000000000000000","Deary",3414097.91084,9686.26783674,0,-0.109375,8.2109375,-8.4296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510422_00000000000000000000","Deary",3414097.91084,9686.26783674,0,2.78125,11.578125,-6.0234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510423_00000000000000000000","Deary",3414097.91084,9686.26783674,0,5.5390625,15.1796875,-4.109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510424_00000000000000000000","Deary",3414097.91084,9686.26783674,0,5.953125,15.8515625,-3.953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510425_00000000000000000000","Deary",3414097.91084,9686.26783674,0,7.7421875,19.5234375,-4.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510426_00000000000000000000","Deary",3414097.91084,9686.26783674,0,9.0234375,19.0234375,-0.9921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510427_00000000000000000000","Deary",3414097.91084,9686.26783674,0,8.9609375,17.9921875,-0.078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510428_00000000000000000000","Deary",3414097.91084,9686.26783674,6.421875,9.5234375,14.8125,4.21875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510429_00000000000000000000","Deary",3414097.91084,9686.26783674,7.5234375,5.5,9.40625,1.59375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510430_00000000000000000000","Deary",3414097.91084,9686.26783674,1.28125,3.8125,6.921875,0.703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510501_00000000000000000000","Deary",3414097.91084,9686.26783674,2.0703125,4.2109375,8.2578125,0.171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510502_00000000000000000000","Deary",3414097.91084,9686.26783674,0.65625,6.8125,12.171875,1.453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510503_00000000000000000000","Deary",3414097.91084,9686.26783674,0,8.7109375,18.0234375,-0.6015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510504_00000000000000000000","Deary",3414097.91084,9686.26783674,0,13.4375,22.5078125,4.359375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510505_00000000000000000000","Deary",3414097.91084,9686.26783674,4.2109375,10.90625,21.7890625,0.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510506_00000000000000000000","Deary",3414097.91084,9686.26783674,0,14.2890625,22.5390625,6.0390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510507_00000000000000000000","Deary",3414097.91084,9686.26783674,2.3828125,13.2421875,20.59375,5.890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510508_00000000000000000000","Deary",3414097.91084,9686.26783674,1.046875,9.4921875,12.9609375,6.0234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510509_00000000000000000000","Deary",3414097.91084,9686.26783674,0,11.4375,18.8515625,4.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510510_00000000000000000000","Deary",3414097.91084,9686.26783674,0,14.046875,24.5703125,3.5390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510511_00000000000000000000","Deary",3414097.91084,9686.26783674,1.9609375,15,25.21875,4.78125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510512_00000000000000000000","Deary",3414097.91084,9686.26783674,5.4375,7.3515625,12.4765625,2.21875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510513_00000000000000000000","Deary",3414097.91084,9686.26783674,3.4609375,7.3125,11.5234375,3.109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510514_00000000000000000000","Deary",3414097.91084,9686.26783674,6.7578125,6.9921875,10.6484375,3.328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510515_00000000000000000000","Deary",3414097.91084,9686.26783674,0.546875,9.6328125,16.46875,2.7890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510516_00000000000000000000","Deary",3414097.91084,9686.26783674,0,12.6015625,21.8203125,3.3671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510517_00000000000000000000","Deary",3414097.91084,9686.26783674,0,14.2265625,22.5703125,5.8984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510518_00000000000000000000","Deary",3414097.91084,9686.26783674,0,10.6875,19.03125,2.3515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510519_00000000000000000000","Deary",3414097.91084,9686.26783674,0,9.1796875,18.9609375,-0.609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510520_00000000000000000000","Deary",3414097.91084,9686.26783674,0,11.328125,21.2109375,1.4375,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510521_00000000000000000000","Deary",3414097.91084,9686.26783674,0,12.53125,23.7578125,1.296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
"19510522_00000000000000000000","Deary",3414097.91084,9686.26783674,0,15.5,27.8515625,3.1484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
